year,men_count,women_count,total
1990,64995,65005,130000
1991,60382,61491,121873
1992,57384,59184,116568
1993,55580,57852,113432
1994,54400,57119,111519
1995,53626,56697,110323
1996,52102,55600,107702
1997,50982,54866,105848
1998,50484,54686,105170
1999,50107,54595,104702
2000,49883,54610,104493
2001,49153,54013,103166
2002,48456,53638,102094
2003,48258,53769,102027
2004,48260,53884,102144
2005,48069,54023,102092
2006,47467,53736,101203
2007,47286,53811,101097
2008,47266,53827,101093
2009,47367,54169,101536
2010,47481,54574,102055
2011,47414,54710,102124
2012,47500,55045,102545
2013,47695,55601,103296
2014,48082,56280,104362
2015,48600,56948,105548
2016,48721,57362,106083
2017,49067,57849,106916
2018,49426,58514,107940
2019,49872,59240,109112
2020,50373,59959,110332
2021,50571,60429,111000
2022,50935,61020,111955
2023,51349,61669,113018
2024,51852,62480,114332
2025,52447,63150,115597
2026,52788,63672,116460
2027,53194,64214,117408
2028,53632,65015,118647
2029,54229,65769,119998
2030,54751,66472,121223
2031,55089,67182,122271
2032,55548,67864,123412
2033,56052,68710,124762
2034,56628,69691,126319
2035,57125,70374,127499
2036,57604,71130,128734
2037,58105,71801,129906
2038,58681,72624,131305
2039,59240,73359,132599
2040,59859,74083,133942
